	question	answer
1197	Kolik se platí  obnovu  zápisu průmyslového vzoru	Správní poplatek za přijetí přihlášky průmyslového vzoru je tisíc korun českých. Pokud je přihlašovatelem výlučně původce, správní poplatek je pět set korun českých. Při přihlášení Identitou občana u elektronického podání Úřad sníží správní poplatek o 20 %, nejvýše však o tisíc korun českých, jsou-li splněny zákonné podmínky. Správní poplatek za přijetí hromadné přihlášky průmyslového vzoru je tisíc korun českých. Pokud je přihlašovatelem výlučně původce, správní poplatek je pět set korun českých. Za každý další průmyslový vzor obsažený v přihlášce se platí správní poplatek šest set korun českých. Za každý další průmyslový vzor obsažený v přihlášce, pokud je přihlašovatelem výlučně původce, je správní poplatek třista korun českých. Při přihlášení Identitou občana u elektronického podání Úřad sníží správní poplatek o 20 %, nejvýše však o tisíc korun českých, jsou-li splněny zákonné podmínky. Poplatek je možné uhradit bankovním převodem nebo v hotovosti v pokladně Úřadu, kolky nebo složenkou. Bližší informace o poplatcích naleznete též na stránkách Úřadu zde. Ochrana zapsaného průmyslového vzoru trvá 5 let od přiznaného data podání přihlášky průmyslového vzoru. Vlastník průmyslového vzoru může tuto dobu ochrany opakovaně obnovit, a to vždy o 5 let, až na celkovou dobu 25 let od data podání přihlášky průmyslového vzoru. Žádost o obnovu doby ochrany lze podat během posledního roku příslušného pětiletého období. Podání žádosti o obnovu doby ochrany zapsaného průmyslového vzoru je zpoplatněno.
1198	Jaký je poplatek za obnovu  zápisu průmyslového vzoru	Správní poplatek za přijetí přihlášky průmyslového vzoru je tisíc korun českých. Pokud je přihlašovatelem výlučně původce, správní poplatek je pět set korun českých. Při přihlášení Identitou občana u elektronického podání Úřad sníží správní poplatek o 20 %, nejvýše však o tisíc korun českých, jsou-li splněny zákonné podmínky. Správní poplatek za přijetí hromadné přihlášky průmyslového vzoru je tisíc korun českých. Pokud je přihlašovatelem výlučně původce, správní poplatek je pět set korun českých. Za každý další průmyslový vzor obsažený v přihlášce se platí správní poplatek šest set korun českých. Za každý další průmyslový vzor obsažený v přihlášce, pokud je přihlašovatelem výlučně původce, je správní poplatek třista korun českých. Při přihlášení Identitou občana u elektronického podání Úřad sníží správní poplatek o 20 %, nejvýše však o tisíc korun českých, jsou-li splněny zákonné podmínky. Poplatek je možné uhradit bankovním převodem nebo v hotovosti v pokladně Úřadu, kolky nebo složenkou. Bližší informace o poplatcích naleznete též na stránkách Úřadu zde. Ochrana zapsaného průmyslového vzoru trvá 5 let od přiznaného data podání přihlášky průmyslového vzoru. Vlastník průmyslového vzoru může tuto dobu ochrany opakovaně obnovit, a to vždy o 5 let, až na celkovou dobu 25 let od data podání přihlášky průmyslového vzoru. Žádost o obnovu doby ochrany lze podat během posledního roku příslušného pětiletého období. Podání žádosti o obnovu doby ochrany zapsaného průmyslového vzoru je zpoplatněno.
1199	Kolik se platí  prodloužení zápisu průmyslového vzoru	Správní poplatek za přijetí přihlášky průmyslového vzoru je tisíc korun českých. Pokud je přihlašovatelem výlučně původce, správní poplatek je pět set korun českých. Při přihlášení Identitou občana u elektronického podání Úřad sníží správní poplatek o 20 %, nejvýše však o tisíc korun českých, jsou-li splněny zákonné podmínky. Správní poplatek za přijetí hromadné přihlášky průmyslového vzoru je tisíc korun českých. Pokud je přihlašovatelem výlučně původce, správní poplatek je pět set korun českých. Za každý další průmyslový vzor obsažený v přihlášce se platí správní poplatek šest set korun českých. Za každý další průmyslový vzor obsažený v přihlášce, pokud je přihlašovatelem výlučně původce, je správní poplatek třista korun českých. Při přihlášení Identitou občana u elektronického podání Úřad sníží správní poplatek o 20 %, nejvýše však o tisíc korun českých, jsou-li splněny zákonné podmínky. Poplatek je možné uhradit bankovním převodem nebo v hotovosti v pokladně Úřadu, kolky nebo složenkou. Bližší informace o poplatcích naleznete též na stránkách Úřadu zde. Ochrana zapsaného průmyslového vzoru trvá 5 let od přiznaného data podání přihlášky průmyslového vzoru. Vlastník průmyslového vzoru může tuto dobu ochrany opakovaně obnovit, a to vždy o 5 let, až na celkovou dobu 25 let od data podání přihlášky průmyslového vzoru. Žádost o obnovu doby ochrany lze podat během posledního roku příslušného pětiletého období. Podání žádosti o obnovu doby ochrany zapsaného průmyslového vzoru je zpoplatněno.
1200	Jaký je poplatek za prodloužení zápisu průmyslového vzoru	Správní poplatek za přijetí přihlášky průmyslového vzoru je tisíc korun českých. Pokud je přihlašovatelem výlučně původce, správní poplatek je pět set korun českých. Při přihlášení Identitou občana u elektronického podání Úřad sníží správní poplatek o 20 %, nejvýše však o tisíc korun českých, jsou-li splněny zákonné podmínky. Správní poplatek za přijetí hromadné přihlášky průmyslového vzoru je tisíc korun českých. Pokud je přihlašovatelem výlučně původce, správní poplatek je pět set korun českých. Za každý další průmyslový vzor obsažený v přihlášce se platí správní poplatek šest set korun českých. Za každý další průmyslový vzor obsažený v přihlášce, pokud je přihlašovatelem výlučně původce, je správní poplatek třista korun českých. Při přihlášení Identitou občana u elektronického podání Úřad sníží správní poplatek o 20 %, nejvýše však o tisíc korun českých, jsou-li splněny zákonné podmínky. Poplatek je možné uhradit bankovním převodem nebo v hotovosti v pokladně Úřadu, kolky nebo složenkou. Bližší informace o poplatcích naleznete též na stránkách Úřadu zde. Ochrana zapsaného průmyslového vzoru trvá 5 let od přiznaného data podání přihlášky průmyslového vzoru. Vlastník průmyslového vzoru může tuto dobu ochrany opakovaně obnovit, a to vždy o 5 let, až na celkovou dobu 25 let od data podání přihlášky průmyslového vzoru. Žádost o obnovu doby ochrany lze podat během posledního roku příslušného pětiletého období. Podání žádosti o obnovu doby ochrany zapsaného průmyslového vzoru je zpoplatněno.
1201	udržování průmyslového vzoru v platnosti	Správní poplatek za přijetí přihlášky průmyslového vzoru je tisíc korun českých. Pokud je přihlašovatelem výlučně původce, správní poplatek je pět set korun českých. Při přihlášení Identitou občana u elektronického podání Úřad sníží správní poplatek o 20 %, nejvýše však o tisíc korun českých, jsou-li splněny zákonné podmínky. Správní poplatek za přijetí hromadné přihlášky průmyslového vzoru je tisíc korun českých. Pokud je přihlašovatelem výlučně původce, správní poplatek je pět set korun českých. Za každý další průmyslový vzor obsažený v přihlášce se platí správní poplatek šest set korun českých. Za každý další průmyslový vzor obsažený v přihlášce, pokud je přihlašovatelem výlučně původce, je správní poplatek třista korun českých. Při přihlášení Identitou občana u elektronického podání Úřad sníží správní poplatek o 20 %, nejvýše však o tisíc korun českých, jsou-li splněny zákonné podmínky. Poplatek je možné uhradit bankovním převodem nebo v hotovosti v pokladně Úřadu, kolky nebo složenkou. Bližší informace o poplatcích naleznete též na stránkách Úřadu zde. Ochrana zapsaného průmyslového vzoru trvá 5 let od přiznaného data podání přihlášky průmyslového vzoru. Vlastník průmyslového vzoru může tuto dobu ochrany opakovaně obnovit, a to vždy o 5 let, až na celkovou dobu 25 let od data podání přihlášky průmyslového vzoru. Žádost o obnovu doby ochrany lze podat během posledního roku příslušného pětiletého období. Podání žádosti o obnovu doby ochrany zapsaného průmyslového vzoru je zpoplatněno.
1202	udržovací poplatek pro průmyslový vzor	Správní poplatek za přijetí přihlášky průmyslového vzoru je tisíc korun českých. Pokud je přihlašovatelem výlučně původce, správní poplatek je pět set korun českých. Při přihlášení Identitou občana u elektronického podání Úřad sníží správní poplatek o 20 %, nejvýše však o tisíc korun českých, jsou-li splněny zákonné podmínky. Správní poplatek za přijetí hromadné přihlášky průmyslového vzoru je tisíc korun českých. Pokud je přihlašovatelem výlučně původce, správní poplatek je pět set korun českých. Za každý další průmyslový vzor obsažený v přihlášce se platí správní poplatek šest set korun českých. Za každý další průmyslový vzor obsažený v přihlášce, pokud je přihlašovatelem výlučně původce, je správní poplatek třista korun českých. Při přihlášení Identitou občana u elektronického podání Úřad sníží správní poplatek o 20 %, nejvýše však o tisíc korun českých, jsou-li splněny zákonné podmínky. Poplatek je možné uhradit bankovním převodem nebo v hotovosti v pokladně Úřadu, kolky nebo složenkou. Bližší informace o poplatcích naleznete též na stránkách Úřadu zde. Ochrana zapsaného průmyslového vzoru trvá 5 let od přiznaného data podání přihlášky průmyslového vzoru. Vlastník průmyslového vzoru může tuto dobu ochrany opakovaně obnovit, a to vždy o 5 let, až na celkovou dobu 25 let od data podání přihlášky průmyslového vzoru. Žádost o obnovu doby ochrany lze podat během posledního roku příslušného pětiletého období. Podání žádosti o obnovu doby ochrany zapsaného průmyslového vzoru je zpoplatněno.
1203	Kde mohu najít rešeršní databázi průmyslových vzorů?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1204	Kde je rešeršní databázi průmyslových vzorů?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1205	Kde najdu rešeršní databázi průmyslových vzorů?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1206	Kde můžu najít rešeršní databázi průmyslových vzorů?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1207	Co obsahuje databáze průmyslových vzorů?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1208	Jaké informace obsahuje databáze průmyslových vzorů?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1209	Co obsahuje česká databáze průmyslových vzorů?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1210	Jaké informace obsahuje česká databáze průmyslových vzorů?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1211	Jsou v databázi průmyslových vzorů zapsané také průmyslové vzory z Úřadu Evropské unie pro duševní vlastnictví?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1212	Kde lze najít mezinárodní průmyslové vzory platné na území České republiky?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1213	Kde je možné najít mezinárodní průmyslové vzory platné na území České republiky?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1214	Kde jsou mezinárodní průmyslové vzory platné na území České republiky?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1215	Kde najdu mezinárodní průmyslové vzory platné na území České republiky?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1216	odkazy na zahraniční databáze průmyslových vzorů	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1217	Co je EUIPO ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1218	Co znamená EUIPO ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1219	Co je  WIPO ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1220	Co znamená WIPO ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1221	Co je  VIPO?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1222	Co znamená VIPO?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1223	Co je databáze Hague ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1224	Co znamená databáze Hague ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1225	Co najdu v databáze Hague ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1226	Co je  databázi Hague ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1227	Co znamená  databázi Hague ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1228	Co najdu v databázi Hague ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1229	Co je databáze  Hág ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1230	Co znamená databáze  Hág ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1231	Co najdu v databáze  Hág ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1232	Co je  databázi Hág ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1233	Co znamená  databázi Hág ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1234	Co najdu v databázi Hág ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1235	Co je databáze  Hague Express ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1236	Co znamená databáze  Hague Express ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
1237	Co najdu v databáze  Hague Express ?	Na stránkách Úřadu naleznete rešeršní databázi průmyslových vzorů databázi průmyslových vzorů, která obsahuje zapsané české národní průmyslové vzory, a to bibliografický záznam a vyobrazení, od č. zápisu 3500, a průmyslové vzory zapsané u Úřadu Evropské unie pro duševní vlastnictví - é ú ipo. Na území Evropské unie, tedy i České republiky, mohou platit i takzvané mezinárodní průmyslové vzory zapsané u vipo - lze dohledat v databázi  hág ekspres. Úřad na svých stránkách uvádí i odkazy na zahraniční databáze průmyslových vzorů.
